Code,State,Obama_Spend,McCain_Spend,Other_Spend,Obama_Air,McCain_Air,Other_Air,StatePop,Dem_Visits,Rep_Visits,Political Knowledge
AK,Alaska,134686,1836,9768,1430,31,171,710231,0,1,
AL,Alabama,264945,850,9359,920,11,61,4779736,0,0,2.444444
AR,Arkansas,110350,459,785,348,5,7,2915918,0,1,2.485714
AZ,Arizona,1510900,751,5214,2513,9,115,6392017,0,5,2.907407
CA,California,5570641,1885142,123891,2552,1723,1725,37253956,6,8,2.903427
CO,Colorado,10410669,9818077,753662,20836,19588,905,5029196,8,13,2.836066
CT,Connecticut,730335,0,3365,952,0,4,3574097,0,0,2.882353
DC,Dist. of Columbia,0,0,0,0,0,0,601723,15,6,2.500000
DE,Delaware,0,0,0,0,0,0,897934,6,0,3.000000
FL,Florida,36990591,17133501,1911051,55861,27723,1846,18801310,12,11,2.722513
GA,Georgia,4105888,49507,76496,8480,217,122,9687653,1,1,2.415842
HI,Hawaii,113838,31,544,426,1,7,1360301,1,0,
IA,Iowa,15344065,5817988,1768117,28778,21690,2969,3046355,4,9,2.775510
ID,Idaho,268,434,7786,2,21,314,1567582,0,0,2.631579
IL,Illinois,23319,19693,20573,193,182,241,12830632,13,2,2.786765
IN,Indiana,17796704,3160264,274315,39987,7893,329,6483802,8,5,2.663366
KS,Kansas,62108,13693,3435,222,103,17,2853118,0,0,3.000000
KY,Kentucky,183738,212,0,768,3,0,4625364,1,1,2.526316
LA,Louisiana,368023,6019,25007,1245,40,207,4533372,0,1,2.487179
MA,Massachusetts,46839,0,227,192,0,4,6547629,2,1,2.842105
MD,Maryland,257582,0,2483,376,0,9,5773552,1,1,2.890110
ME,Maine,1218060,444529,53451,4365,1731,228,1328361,0,2,3.393939
MI,Michigan,12955614,13332086,375039,31477,29425,355,9883640,10,9,2.824427
MN,Minnesota,3006784,4675107,39951,8621,12229,436,5303925,1,9,2.990476
MO,Missouri,11323706,9428559,781518,29827,22110,977,5988927,13,14,2.802083
MS,Mississippi,238401,139999,5489,998,379,144,2967297,1,3,2.548387
MT,Montana,1732467,134805,8617,20847,1339,146,989415,3,0,2.944444
NC,North Carolina,15178674,7137289,388558,37447,17567,1036,9535483,12,8,2.546154
ND,North Dakota,448361,71972,1636,3599,555,43,672591,1,0,2.777778
NE,Nebraska,55807,1225,414,223,3,1,1826341,0,2,2.625000
NH,New Hampshire,10931832,6478902,1680079,11074,7116,1112,1316470,6,6,2.818182
NJ,New Jersey,0,0,0,0,0,0,8791894,1,2,2.800000
NM,New Mexico,4534378,3606796,361352,16207,14448,812,2059179,5,8,2.777778
NV,Nevada,9622022,6184427,359700,25490,17365,1063,2700551,7,7,3.066667
NY,New York,1148016,7320,478867,305,38,248,19378102,4,11,2.926724
OH,Ohio,28444614,24326210,1110331,60062,51985,1556,11536504,22,28,2.742331
OK,Oklahoma,163515,2656,4237,411,10,32,3751351,0,0,2.545455
OR,Oregon,1194908,159229,4236,4899,327,61,3831074,0,0,2.644068
PA,Pennsylvania,41656958,29639079,435000,55677,43671,538,12702379,16,31,2.648889
RI,Rhode Island,671623,0,5340,1903,0,59,1052567,1,0,2.913043
SC,South Carolina,967640,587645,341651,3311,1971,1028,4625364,0,0,2.826923
SD,South Dakota,639435,1531,19666,4363,5,69,814180,0,1,2.800000
TN,Tennessee,518659,3526,7455,1225,10,59,6346105,1,2,2.691489
TX,Texas,9917565,19080,252611,33983,139,658,25145561,2,2,2.772021
UT,Utah,297645,250,2235,553,1,12,2763885,0,0,3.026316
VA,Virginia,26291018,13926466,778384,36709,21773,437,8001024,19,10,2.863248
VT,Vermont,0,0,0,0,0,0,625741,0,0,3.357143
WA,Washington,312869,2264,5530,535,6,31,6724540,1,0,2.869048
WI,Wisconsin,13586634,9240899,793605,46555,31608,2497,5686986,7,7,2.836538
WV,West Virginia,1437178,1920728,36904,7355,9501,346,1852994,1,1,2.593750
WY,Wyoming,0,2518,9549,0,22,167,563626,0,0,3.000000
